2014-03-19 13:32:46 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-19 13:59:39 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\centros\view.ctp, line 180]
2014-03-19 15:48:19 Debug: Notice (8): Undefined property: PagesController::$Auth in [C:\wamp\www\sigedu\controllers\pages_controller.php, line 87]
2014-03-19 15:53:03 Debug: Notice (8): Undefined property: PagesController::$Auth in [C:\wamp\www\sigedu\controllers\pages_controller.php, line 87]
2014-03-19 15:53:05 Debug: Notice (8): Undefined property: PagesController::$Auth in [C:\wamp\www\sigedu\controllers\pages_controller.php, line 87]
2014-03-20 03:37:58 Debug: Notice (8): Undefined index: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 23]
2014-03-20 03:37:58 Debug: Notice (8): Undefined index: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 24]
2014-03-20 03:37:58 Debug: Notice (8): Undefined index: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 25]
2014-03-20 03:37:58 Debug: Notice (8): Undefined index: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 26]
2014-03-20 03:37:59 Debug: Notice (8): Undefined index: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 27]
2014-03-20 03:37:59 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 29]
2014-03-20 03:37:59 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 32]
2014-03-20 03:37:59 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 35]
2014-03-20 03:37:59 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 36]
2014-03-20 03:37:59 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 37]
2014-03-20 03:39:39 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 29]
2014-03-20 03:39:39 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 32]
2014-03-20 03:39:39 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 35]
2014-03-20 03:39:39 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 36]
2014-03-20 03:39:39 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 37]
2014-03-20 03:40:44 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 29]
2014-03-20 03:40:44 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 32]
2014-03-20 03:40:44 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 35]
2014-03-20 03:40:44 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 36]
2014-03-20 03:40:44 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 37]
2014-03-20 03:42:16 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 29]
2014-03-20 03:42:16 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 32]
2014-03-20 03:42:16 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 35]
2014-03-20 03:42:16 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 36]
2014-03-20 03:42:16 Debug: Notice (8): Undefined variable: usuario in [C:\wamp\www\sigedu\views\usuarios\index.ctp, line 37]
2014-03-20 13:57:14 Debug: Notice (8): Undefined property: PagesController::$Session in [C:\wamp\www\sigedu\app_controller.php, line 79]
2014-03-20 13:59:02 Debug: Notice (8): Undefined property: UsuariosController::$Session in [C:\wamp\www\sigedu\app_controller.php, line 79]
2014-03-26 14:14:01 Debug: Notice (8): Undefined property: UsuariosController::$Session in [C:\wamp\www\sigedu\controllers\usuarios_controller.php, line 39]
2014-03-26 20:30:52 Debug: Notice (8): Undefined property: UsuariosController::$Session in [C:\wamp\www\sigedu\controllers\usuarios_controller.php, line 33]
2014-03-27 11:17:36 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\cursos\view.ctp, line 175]
2014-03-27 11:39:41 Debug: Notice (8): Undefined index: fechaCambioSituaci??nPersona in [C:\wamp\www\sigedu\views\centros\view.ctp, line 180]
2014-03-27 13:00:44 Debug: Notice (8): Undefined index: instituci??n in [C:\wamp\www\sigedu\views\docentes\view.ctp, line 137]
